id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
30200,Piyo no Ongaeshi,,Music,Original,1,Finished Airing,False,G - All Ages,0.0,29449,0,20272,0,260,A music video for the song by Junko Iwao that was featured on NHK's Minna no Uta Program.,,2015,2015-02-02,,,,314
30201,Shiawase no Tokei,,Music,Original,1,Finished Airing,False,G - All Ages,5.27,29450,136,19030,0,332,A music video for the song by Haru &amp; Chitchi Kazoku that was featured on NHK's Minna no Uta Program.,,2012,2012-02-01,,,,315
30202,Bucket no Ana,,Music,Original,1,Finished Airing,False,G - All Ages,4.82,29451,199,17490,0,446,A music video for the song by Kazuo Kumakura and NHK Tokyo Children's Choir that was featured on NHK's Minna no Uta Program.,,1968,1968-08-05,,,,316
30207,"Watashi wa ""Tofu"" desu",,Music,Original,1,Finished Airing,False,G - All Ages,5.45,29452,139,18930,0,338,A music video for the song by Kazuo Kumakura and NHK Tokyo Children's Choir that was featured on NHK's Minna no Uta Program.,,1977,1977-08-04,,,,317
30208,Shiritori Mambo,,Music,Original,1,Finished Airing,False,G - All Ages,0.0,29453,0,20533,0,245,A music video for the song by Kazuo Kumakura and Happy Life that was featured on NHK's Minna no Uta Program.,,2012,2012-12-02,,,,318
30209,Naze,,Music,Original,1,Finished Airing,False,G - All Ages,0.0,29454,0,20435,0,251,A music video for the song by Keropons and Sayama Children's Choir that was featured on NHK's Minna no Uta Program.,,2012,2012-02-02,,,,319
30234,1989,,Music,Original,1,Finished Airing,False,G - All Ages,5.56,29455,980,12360,1,1678,Music video for song '1989' by the pillows from their 20th anniversary compilation album 'Rock stock &amp; too smoking the pillows.',,2009,2009-06-03,,,,320
30241,Umo,,Music,Unknown,1,Finished Airing,False,PG - Children,5.05,29456,190,18462,0,373,Music video by Shoji Goto.,,2007,2007-01-01,,,,321
30397,Mori no Kuma-san (2009),The Bear,Music,Music,1,Finished Airing,False,G - All Ages,4.84,29463,241,17018,0,488,A short animation by Taku Furukawa that was featured on the NHK's Eigo de Asobo program.,,2009,2009-01-01,,,,322
30401,Rule,,Music,Unknown,1,Finished Airing,False,G - All Ages,4.72,29464,223,17632,0,435,A short animation by Taku Furukawa.,,2009,2009-01-01,,Takun Manga Box,,323
30405,Ishindenshin Shiyou,From Heart to Heart,Music,Music,1,Finished Airing,False,G - All Ages,4.83,29465,258,16828,0,507,"An adaptation of a previously released song for FM Miyazaki Joy, a local FM radio station's driver safety campaign commercial. The commercial's song was so popular people were requesting the commercial to air instead of regular songs. NHK eventually purchased the rights to feature and have a music video created for a cleaned up version of the song (a significant portion of the lyrics were changed). This was a rare instance as it is one of the few Minna no Uta songs that came from private broadcasters as almost all are created from public broadcasters such as NHK themselves.

The remade version was still a popular hit and was featured on the Minna no Uta program for 4 months straight.",,1993,1993-06-01,,,,324
30424,Instant Music,Instant Music,Music,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,4.86,29466,463,14992,0,794,"Music video for the song ‘Instant Music’, from the album ‘Runners High’ by the pillows.",,1998,1998-11-27,,,,325
30425,Wake Up! Dodo,Wake Up! Dodo,Music,Unknown,1,Finished Airing,False,PG - Children,5.35,29467,350,15964,0,610,"Music video for ‘Wake Up! Dodo’, from the album ‘Wake Up! Wake Up! Wake Up!’ by the pillows.",,2007,2007-05-02,,,,326
