id,title,title_english,type,source,episodes,status,airing,rating,score,rank,scored_by,popularity,favorites,members,synopsis,season,year,start,ending,studios,genres,ranking
5163,Code Geass: Hangyaku no Lelouch R2 Picture Drama,Code Geass: Lelouch of the Rebellion R2 Picture Dramas,Special,Original,9,Finished Airing,False,PG-13 - Teens 13 or older,7.06,4102,15809,3777,98,38886,"Though it has been one year since the Black Rebellion failed, the battle lives on, as the Holy Empire of Britannia attempts to expand its power worldwide, and the Black Knights work to regain theirs.

As a newly instated Knight of Rounds, Suzaku Kururugi is an indispensable asset in battle, though he has yet to bear the full weight of his title. Among his opposition, C.C. and Kallen Stadtfeld strengthen their bond as they work together on crucial missions for the Black Knights. Interspersed throughout the drama are lighthearted, humorous moments, including the Ashford Academy Student Council’s handmade dress party and the Black Knights' pajama party.

Blending tragedy and comedy, Code Geass: Hangyaku no Lelouch R2 Picture Drama gives a behind-the-scenes look at the characters of its parent series, showcasing how they come to terms with their roles and each other.

[Written by MAL Rewrite]",,2008,2008-08-22,2009-04-24,Sunrise,Comedy;Ecchi,290
3219,Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!,,Special,Original,1,Finished Airing,False,G - All Ages,7.06,4107,3605,7640,3,7246,This episode takes place before the actual planning of the School Fair and shows how the girls spend their summer holidays.,,2007,2007-10-10,,ufotable,Comedy;Sci-Fi;Slice of Life,291
10647,Ao no Exorcist: Ura Ex,Blue Exorcist: Ura Eku,Special,Manga,10,Finished Airing,False,PG-13 - Teens 13 or older,7.05,4115,39057,2333,48,91130,"Ura Ex, extra short anime included in Blu-ray and the DVD releases of Ao no Exorcist.",,2011,2011-06-22,2012-03-21,A-1 Pictures,Comedy,292
659,Azumanga Daiou: Gekijou Tanpen,Azumanga Daioh: The Very Short Movie,Special,4-koma manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.05,4117,25164,3475,27,45458,"In this short movie featuring familiar characters from Azumanga Daioh, Osaka is yet again having a strange dream of Chiyo-Chan's pigtails being posessed. As Chiyo-Chan's pigtails bounce out of the window, who knows if young Chiyo will ever be happy again.

(Source: ANN)",,2001,2001-12-25,,J.C.Staff,Comedy,293
8068,Kuroshitsuji Picture Drama,,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.05,4132,7936,4819,46,23007,"It is almost Valentine's Day, and grim reaper Grell Sutcliff finally receives the opportunity to become the heroine of her very own harem battle. Whilst making chocolates for the demonic butler Sebastian Michaelis, Grell's preparations are interrupted by a whole host of handsome men smashing through the window.

First to appear is fellow reaper William T. Spears, who brings nothing but harsh reprimands. Next, however, the man of the hour appears—Sebastian Michaelis. The room begins to fill up even more, with Grell's unconventional harem expanding to include a pair of Phantomhive servants; the English branch manager of a Chinese trading company, Lau; the promiscuous Viscount Druitt; the Queen's butler, Ash Landers; and even the royal master-servant pair, Prince Soma and Agni. And when The Undertaker appears as ""The Valentine's Fairy,"" this chaotic gathering becomes a lot more romantic.

[Written by MAL Rewrite]",,2010,2010-01-31,,A-1 Pictures,Supernatural,294
49755,Obey Me!: Makai Dai Ryokou!,,Special,Game,1,Finished Airing,False,PG-13 - Teens 13 or older,7.05,4136,2675,8579,26,5498,"Demon brothers Lucifer, Mammon, Leviathan, Satan, Asmodeus, Beelzebub, and Belphegor are rarely in agreement. Being avatars of the seven deadly sins, their respective interests are strongly influenced by the sin that they embody the most. As a result, it is no easy task to decide on the itinerary for a family trip within the Devildom. What locations and activities would please everyone to make this getaway worthwhile?

[Written by MAL Rewrite]",,2021,2021-04-02,,Colored Pencil Animation Japan,Comedy;Fantasy,295
6884,Ookami to Koushinryou II: Holo no Short Anime,Spice and Wolf II Specials,Special,Light novel,2,Finished Airing,False,PG-13 - Teens 13 or older,7.05,4139,29835,2917,148,62894,Extra short anime featuring Holo from BD volumes 1 and 2.,,2009,2009-10-07,2009-11-04,Brain's Base;Marvy Jack,Supernatural,296
8909,Tales of Symphonia The Animation: Tethe'alla-hen Specials,,Special,Game,4,Finished Airing,False,G - All Ages,7.05,4150,3240,7248,7,8349,"Specials that came with the DVDs of Tethe'alla Hen. The characters gather and talk about different things. How they are going to save the day, become the main love interest of the ladies, have increased screen-time, etc...",,2010,2010-03-25,2011-02-25,ufotable,Comedy,297
19697,Toaru Kagaku no Railgun S: Motto Marutto Railgun,,Special,Manga,2,Finished Airing,False,PG-13 - Teens 13 or older,7.05,4150,14826,3909,36,36008,Toaru Kagaku no Railgun S specials that were released on Blu-ray and DVD volumes.,,2013,2013-07-24,2013-11-27,J.C.Staff,Comedy,298
5978,Kannagi: Moshimo Kannagi ga Attara...,,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.04,4190,18873,3997,9,34563,"Unaired episode included in DVD Vol.7.

In this episode they attempt to make a movie with some money they found lying on the ground.",,2009,2009-05-27,,A-1 Pictures,Comedy;Supernatural,299
22071,Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,Engaged to the Unidentified Special,Special,4-koma manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.04,4196,24701,3419,13,46517,"After participating in a lucky draw, Hakuya Mitsumine wins first prize: tickets for a trip to a hot spring of his choice. Hakuya's sister, Mashiro, wishes to visit a specific hot spring in a village surrounded by intriguing rumors about alleged sightings of mysterious creatures in its area. Supportive of his sister's pick, Hakuya, along with Mashiro and a few friends, heads to the village. 

When the group ventures into a dark forest determined to catch a glimpse of the creatures, their pursuit is instead hindered by multiple uncanny mishaps. Strayed from what was supposed to be a simple goal, the group is determined to find the creatures or else they will return home with their curiosity dissatisfied.

[Written by MAL Rewrite]",,2014,2014-03-19,,Doga Kobo,Comedy;Romance,300
10807,Nichijou: Original Jikai Yokoku,My Ordinary Life Specials,Special,Manga,25,Finished Airing,False,PG-13 - Teens 13 or older,7.04,4199,5400,5070,26,20339,Original next episode trailers included in the Blu-ray and DVD volumes of Nichijou.,,2011,2011-06-24,2012-06-29,Kyoto Animation,Comedy,301
19619,Jewelpet Twinkle☆: Hohoemi no Niji ni Dokki☆Doki!,,Special,Original,1,Finished Airing,False,PG - Children,7.03,4209,646,11852,2,1991,Special episode included with the Blu-ray box set of the original Jewelpet Tinkle anime series.,,2013,2013-07-22,,Studio Comet,Fantasy,302
29437,Meitantei Conan: Kinga Shinnen Mouri Kogorou,Detective Conan: Happy New Year Special,Special,Unknown,1,Finished Airing,False,PG-13 - Teens 13 or older,7.03,4222,1698,9116,1,4617,"Special episode consisting of two short stories. The first being an expanded version of Detective Conan: The Fugitive Kogorou Mouri, which was never aired on TV till now. The second half being a brand new New Years Day segment.",,2015,2015-01-03,,TMS Entertainment,Action;Comedy;Mystery,303
5279,Sekirei: Hajimete no Otsukai,,Special,Manga,1,Finished Airing,False,R+ - Mild Nudity,7.03,4231,31449,3026,50,58664,"""Kusano's first errand"" - A ten minute OVA that came along with the 6th vol. limited edition of Sekirei. Kusano finally tires of nobody admitting her as Sahashi's potential wife, so she insists on joining Musubi and Tsukiumi on their shopping race to show her abilities. An iffy day ensues.",,2009,2009-03-25,,Seven Arcs,Comedy;Romance,304
39995,Super Senko-san Time Episode 12,,Special,Web manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.03,4234,4485,5925,15,13666,"Unaired episode 12 of the special segment ""Super Senko-san Time"" included in the 3rd BD volume of Sewayaki Kitsune no Senko-san.",,2019,2019-09-25,,Doga Kobo,Comedy;Supernatural,305
6567,Urusei Yatsura: The Shougaibutsu Suieitaikai,,Special,Manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.03,4237,2692,7801,11,6890,"On a very hot summer day in Tomobiki town, Lum, Ataru, and the rest of the gang are looking forward to using the school's pool. But the teachers have other plans: setting a ludicrous obstacle course between the students in their swimsuits and the pool... naturally this ends in complete chaos.

(Source: AniDB)",,2008,2008-07-30,,Sunrise,Action;Comedy;Romance;Sci-Fi,306
6361,ef: A Tale of Memories. - Prologue,,Special,Visual novel,1,Finished Airing,False,PG-13 - Teens 13 or older,7.03,4257,13052,4167,17,31706,"The prologue for ef - a tale of memories, released on a separate DVD two months before the premiere of the TV series.",,2007,2007-08-24,,Shaft,Drama,307
27567,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Fushigi Yuugi Special: Watase Yuu Selection,Special,Manga,2,Finished Airing,False,PG - Children,7.03,4260,1003,10400,8,3070,"While only a novice performer, Nakago is given the unique opportunity to play in the popular series Fushigi Yuugi. However, being constantly bullied by favored actors Miaka Yuuki and Tamahome makes his life miserable and even causes him to have nightmares. Amid such dreadful circumstances, Nakago strives to avoid discouragement and find the motivation to continue onward.

[Written by MAL Rewrite]",,1996,1996-07-25,,Pierrot,Comedy,308
31368,Grisaia no Rakuen Specials,,Special,Visual novel,5,Finished Airing,False,R+ - Mild Nudity,7.03,4262,32877,2889,37,64228,Short specials included in the Blu-ray and DVD releases.,,2015,2015-08-26,2015-12-25,8bit,Ecchi,309
31234,Himouto! Umaru-chanS,Himouto! Umaru-chanS,Special,Manga,12,Finished Airing,False,PG-13 - Teens 13 or older,7.03,4265,40049,2485,116,82764,"These shorts, included in the Blu-ray and DVD releases, take place in a timeline with multiple Umaru-chans.",,2015,2015-09-16,2016-02-17,Doga Kobo,Comedy,310
24727,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,Baka and Test - Summon the Beasts: Magical Hideyoshi Hideyoshi,Special,Light novel,1,Finished Airing,False,PG-13 - Teens 13 or older,7.02,4269,10892,4518,15,26827,A short special included on the second volume of Baka to Test to Shoukanjuu Ni! Blu-ray/DVD release.,,2011,2011-10-26,,SILVER LINK.,Comedy,311
23359,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,Code Geass: Akito the Exiled - The Wyvern Divided Picture Drama,Special,Original,1,Finished Airing,False,PG-13 - Teens 13 or older,7.02,4274,5887,5289,49,18377,Special included in the Code Geass: Boukoku no Akito 2 BD/DVD release.,,2013,2013-12-25,,Sunrise,Action;Comedy,312
2517,Eikoku Koi Monogatari Emma: Intermission,Emma: A Victorian Romance - Intermission,Special,Manga,1,Finished Airing,False,G - All Ages,7.02,4276,2464,8303,8,5912,This special is a recap of the first season of Eikoku Koi Monogatari Emma: Intermission as well as a preview of the second season Eikoku Koi Monogatari Emma: Molders Hen.,,2007,2007-04-21,,,Drama;Romance,313
4156,Ichigo Mashimaro Episode 0,Strawberry Marshmallow Prologue,Special,4-koma manga,1,Finished Airing,False,PG-13 - Teens 13 or older,7.02,4283,8974,5527,9,16330,A brief special where the girls pretend to be astronauts.,,2005,2005-06-08,,Daume,Comedy,314
14617,Stranger: Mukou Hadan Pilot,Sword of the Stranger Pilot,Special,Original,1,Finished Airing,False,R - 17+ (violence & profanity),7.02,4306,4881,6044,26,12908,"Young Nanashi is a drifting samurai under the service of an enigmatic monk who teaches the ways of life. In search for the meaning of life, Nanashi is forced to partake in certain horrendous acts to overcome the corrupt governments of China and Japan. The mysterious and observant samurai is forced to show a dark side to accomplish his goals and rescue society.

[Written by MAL Rewrite]",,2008,2008-04-11,,Bones,Action;Adventure,315
51225,Uma Musume: Pretty Derby - 1st Anniversary Special Animation,,Special,Game,1,Finished Airing,False,PG-13 - Teens 13 or older,7.02,4313,1680,9139,4,4591,"Initially unveiled on the Pakatube! Channel's ""Paka Live TV Vol.14 1st Anniversary Special!"" stream, a special animation was shown commemorating the 1st anniversary of the Uma Musume: Pretty Derby mobile game starring Kitasan Black and Satono Diamond.

The story begins at the entrance ceremony of the Tracen Academy in spring. Kitasan Black, still unaware of her dream, begins to pursue her aspirations with a clean slate, while Satono Diamond attempts to win the GI to fulfill her family's long-cherished wish. No one knows what the outcome of the race will be for both of them as they set off with their hearts full of hope.

(Source: Crunchyroll, edited)",,2022,2022-02-22,,Studio Kai,Comedy;Sports,316
50770,Vanitas no Karte: Le Chemin Parcouru Depuis la Rencontre,,Special,Manga,1,Finished Airing,False,R - 17+ (violence & profanity),7.02,4314,2883,6989,38,9110,Recap of first cours of Vanitas no Karte narrated by Toshiyuki Morikawa. Includes a short preview of the second cours.,,2021,2021-12-31,,Bones,Action;Fantasy;Mystery,317
