year,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Erotica,Fantasy,Girls Love,Gourmet,Hentai,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
1951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
1955,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1956,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1957,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,2,0,0,0,2,1,0,0,4,0,1,0,1,0,1,0,0,0,2,0
1959,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1960,0,1,3,1,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
1961,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1962,1,2,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,3,0,0,0
1963,4,6,6,1,0,1,6,1,0,3,0,0,0,0,0,1,3,0,0,0,0
1964,4,7,7,1,0,2,5,0,0,3,0,0,0,0,2,2,3,1,0,0,0
1965,7,10,1,1,0,10,1,0,0,1,0,0,0,0,0,1,9,2,0,1,0
1966,4,8,2,1,0,8,1,0,0,3,0,0,0,0,1,0,6,3,0,0,0
1967,6,12,3,1,0,10,3,0,0,7,0,0,0,1,1,1,5,1,0,1,0
1968,11,7,2,1,0,10,4,0,0,4,0,0,0,3,1,0,5,2,2,1,0
1969,9,11,3,0,0,9,7,0,0,7,0,0,1,0,0,0,3,5,5,0,0
1970,1,5,2,3,0,11,9,0,0,3,0,0,0,0,0,1,1,3,14,0,0
1971,6,7,11,1,0,8,7,0,0,2,0,0,1,0,1,0,2,2,3,2,0
1972,6,9,5,1,0,5,1,0,0,8,0,0,0,2,1,1,3,2,1,4,0
1973,7,10,4,1,0,6,3,1,0,6,0,0,0,1,0,2,8,0,3,2,0
1974,7,10,5,2,0,11,4,0,0,7,0,0,0,0,0,0,10,2,1,1,0
1975,9,12,8,1,0,6,4,0,0,4,0,0,0,0,1,3,8,3,0,1,1
1976,15,15,0,1,0,4,7,0,0,6,0,0,0,1,0,3,13,5,1,3,0
1977,12,11,2,1,0,9,11,0,0,3,0,0,0,0,2,1,13,2,4,1,0
1978,17,24,2,0,0,6,24,0,0,8,0,0,0,0,4,7,20,2,3,2,0
1979,23,33,3,2,0,10,25,0,0,11,0,0,0,0,3,4,27,1,7,4,0
1980,17,29,3,1,0,24,20,1,0,12,0,0,0,3,0,5,23,7,7,3,0
1981,20,31,2,0,1,31,24,2,0,14,0,0,0,4,2,5,32,11,5,3,0
1982,27,31,7,2,1,26,24,0,0,13,0,0,0,3,0,7,33,11,5,2,0
1983,33,31,4,1,1,25,15,0,0,15,0,0,0,0,2,13,30,3,10,2,0
1984,30,30,5,1,0,33,14,0,0,13,0,0,7,0,3,15,33,5,9,0,0
1985,32,31,12,1,0,30,21,2,0,22,1,0,15,2,4,17,39,7,9,6,0
1986,47,39,5,1,0,44,30,2,0,27,0,0,1,7,4,23,43,6,14,4,1
1987,42,37,10,2,1,40,36,6,2,22,0,1,4,13,12,11,46,8,9,9,0
1988,45,37,6,2,0,57,37,4,0,30,0,1,4,8,4,13,39,7,11,12,0
1989,56,50,7,1,2,62,32,8,0,44,0,3,6,9,7,15,43,4,8,11,1
1990,48,54,9,2,1,78,31,6,2,48,0,0,11,12,6,15,40,13,8,14,2
1991,59,48,0,2,0,66,46,10,0,54,1,3,8,12,11,16,38,8,9,13,2
1992,54,56,3,2,2,68,45,12,3,56,0,3,4,7,7,26,41,16,8,11,2
1993,49,38,3,2,0,56,38,2,0,62,0,1,3,5,7,24,35,11,8,9,1
1994,54,50,8,2,7,73,38,7,1,39,4,0,18,11,5,23,45,14,18,16,1
1995,57,57,7,4,2,75,41,8,0,53,2,0,18,16,8,26,39,11,8,9,3
